query,song ratio,artist ratio,album ratio,playlist ratio,family entropy,click entropy
aldebert,0.14126551049426977,0.42685913250610696,0.37178396509607087,0.06009139190355237,1.1766875219116855,2.899013779985865
ateez,0.18909839362180322,0.5926328988147342,0.1843904516312191,0.03387825593224349,1.0514209970879955,2.0783840061023944
bimbo,0.9476213434923847,0.0014042464623791045,0.03956655416887315,0.01140785587636308,0.23902916593064627,0.7368230720361628
demi lovato,0.28570935609284775,0.5185649543352734,0.1538222641422623,0.04190342542961651,1.1193500913132914,2.6651833424906037
dr dre,0.3991617658502963,0.3132094140142967,0.14739691609876487,0.14023190403664218,1.2878748006429181,2.7227444636873153
galatée,0.9741096486027115,0.002430926123562196,0.007727578165144867,0.015731847108581366,0.14308378713387315,0.29689472793280075
je suis malade,0.9580062649714391,0.0022664455500276395,0.031472268288188686,0.008255021190344573,0.2033513083981847,1.7214431253570568
les cowboys fringants,0.24523205037067128,0.5307200162486037,0.19323651873667105,0.030811414644054028,1.1057778082507534,2.308714319897945
les lacs du connemara,0.9348265612505092,0.0034476515231528283,0.047542888181420405,0.014182899044917542,0.28773025670849506,0.9978768083069882
memories,0.9444036304527653,0.001492442341399078,0.02245605104384194,0.031647876161993625,0.258263593139505,1.2328511509928193
rem,0.22663724656815756,0.35188367003671484,0.41227324519361197,0.009205838201515618,1.1124066209383672,2.4864767315837777
satisfaction,0.9301896409301018,0.00309330896180818,0.034202154770901806,0.03251489533718825,0.3120356914584478,1.4759130493776835
tarte à la myrtille,0.6971139680225796,0.0005427787168711133,0.02386675557898981,0.27847649768155947,0.7007633290640753,1.7303198334824996
été,0.06007417133116808,0.003409117084744201,0.10024646995139705,0.8362702416326907,0.5684145925382273,3.4815105778285735
alors la zone,0.8628671792013294,0.00018404972497712525,0.10324663714859648,0.03370213392509702,0.47754321654634463,0.7022412439463191
black keys,0.0715175385444018,0.5979431764626675,0.30953342759038577,0.02100585740254494,0.9402790156298315,1.6938981410495608
central cee,0.28269710372874285,0.4567384144804873,0.23106300888954545,0.029501472901224377,1.157539455481249,2.1992413563485202
ete,0.08318210655217693,0.006358901724722997,0.20884049631891885,0.7016184954041812,0.8147256651853372,3.5445428297903305
je reviens te chercher,0.9239623707223964,0.004148569425238105,0.032234189665582454,0.03965487018678301,0.33452884714082065,1.7434808900602041
jul,0.2543185078268748,0.4251168103867294,0.2830404213484566,0.03752426043793918,1.1922732390925532,3.318422475637648
keane,0.25349872773536897,0.5966693929480189,0.12152399127589968,0.028307888040712468,1.0130520967428192,2.0077912570210583
la grenade,0.40501684762261325,0.010058654686135031,0.5696243604143267,0.015300137276924997,0.7968530852020672,1.285888810342722
lartiste,0.33308211510966784,0.5363361299832644,0.1033467439532143,0.027235010953853427,1.0330106758138975,2.4494895618392523
lyna mahyem,0.3666526696187713,0.4710515600346109,0.1336527205171273,0.028643049829490508,1.0932210256963995,2.6377419248113214
mariah carey,0.39209321720670604,0.39968441104277036,0.15604120663021123,0.052181165120312366,1.1776024527792401,3.1827545891057647
naps la kiffance,0.776570556084176,0.00033192449824080017,0.16330685313447368,0.059790666283109466,0.6633855735374512,0.9654414759131236
p!nk,0.332572821918917,0.3682831328348695,0.23081942997055757,0.06832461527565588,1.255764426068319,2.9594277118749757
pokora,0.24796922243783565,0.5425560720249109,0.1619093821923372,0.04756532334491629,1.1171930518888045,2.282965274314033
relaxation,0.28374781718552416,0.031805864996688145,0.3232853615945083,0.3611609562232793,1.1999763623657005,4.3437519703101515
your song,0.9460804055814835,0.0063016749188600125,0.03513302219800526,0.012484897301651228,0.2567404543155255,2.172295493829587
cheerleader,0.3773739330872405,0.005528737744074563,0.5910738445606241,0.026023484608060934,0.802243646091621,1.5848453220570375
girls like us,0.9340894500320993,0.0030672658534845565,0.05033644815369617,0.012506835960719975,0.28669465716860965,1.132330261567427
michou,0.364193773167996,0.44059797067135703,0.15590393716697018,0.039304318993676805,1.145940067587512,2.179170053382541
parfum quartier,0.9261585064924014,0.0001021085413794864,0.018941134425894728,0.05479825054032436,0.3062517535917465,0.3894724886763942
ray charles,0.1293735005715942,0.5970663532291046,0.1676220071811551,0.1059381390181461,1.1096995215846663,2.5456398363423975
sad song,0.06566178289272671,0.009253466412535829,0.016164467270954882,0.9089202834237826,0.37562183152331224,2.9030248477620604
says'z,0.4636056065732238,0.23148058643467054,0.25812792009022073,0.04678588690188497,1.1879486679615114,2.9050239534785427
so maness,0.25379574507360747,0.0018459550509945083,0.6990862522497577,0.04527204762564031,0.7500106888851641,1.122157334293492
souvenirs d'enfance,0.05177621888808448,0.00014978655416032153,0.12138951993409391,0.8266844746236612,0.5679442565731152,1.5721514742264107
"1,2,3 amel bent",0.9145563243098005,0.0007484958113022867,0.029603968947019933,0.055091210931877285,0.3509698891984633,0.7617291889028597
80s party hits,0.028547703224670047,0.01570186585473258,0.2418439627080686,0.7139064682125288,0.7506232042657156,1.9663433433895836
anniversaire,0.7483021254364981,0.019281530974181307,0.031881547471747915,0.20053479611757266,0.7251721872902506,2.862828473280357
bolero de ravel,0.8638048106801703,0.001979514328461273,0.06622165956957073,0.06799401542179767,0.5013564373387078,2.105635399828976
coco,0.4542213285868108,0.011272990968422441,0.5103885116575472,0.024117168787219548,0.842132470299045,1.8871375950494051
destiny's child,0.6623279503607737,0.1221779816884613,0.15018089213169755,0.06531317581906744,0.992668519468884,3.3907805149662504
gabrielle,0.9410419728891066,0.04736240405030214,0.006322764284547724,0.005272858776043489,0.26130970300106166,1.125099191921384
glee,0.14835788442469205,0.4845465514975568,0.25001493375386785,0.11708063032388326,1.2318647347499558,2.9741998180427887
j'irai où tu iras,0.9727181878747502,0.0005496335776149233,0.006079280479680213,0.020652898067954697,0.14218486709806982,0.4923573574461682
jenifer,0.22889950707284368,0.5773543094927823,0.13454456174809723,0.05920162168627673,1.0918752406424372,2.310480358241045
le temps est bon,0.263644801509411,0.004625614339404453,0.7061669785913178,0.02556260555986671,0.7157531969716722,1.2426807224510008
marwa,0.4273282417344715,0.3432336644536515,0.1470074377277492,0.08243065608412786,1.2179340013062052,2.897705129019093
poupie,0.16163655162227364,0.6228275318792772,0.2083353847668751,0.007200531731574024,0.9517878394933759,1.8619965711302402
pump it,0.956186543184234,0.0033721455887204175,0.03297616284042176,0.007465148386623823,0.2111085893926198,0.9659837894513501
wallen,0.35722368340571287,0.544085265153832,0.052097987644504254,0.04659306379595082,0.9956794267162128,2.264967281246162
anastasia,0.09081196581196581,0.05202742993440668,0.6701699463327371,0.18699065792089048,0.9533915833481057,2.2666176728872127
as the world caves in,0.9542038192664107,0.0006628065480284632,0.026974975926365944,0.018158398259194877,0.2198288314870819,1.68624056331722
chanson triste,0.30282208113967174,0.010394084855992568,0.06724218024156085,0.6195416537627748,0.8873574932872359,3.4315185566812927
copacabana,0.9452062550247415,0.002694959971918064,0.0359516718942851,0.016147113109055294,0.25539212268342687,1.6550492672319526
cover me in sunshine,0.10756870297998591,0.0016268067839712785,0.8708589664478892,0.019945523788153605,0.44878385475996907,0.8591504786790614
dinero,0.9412694538832673,0.013666998329171908,0.03449415210167646,0.010569395685884319,0.2798695920628028,1.1844300081764096
dinos,0.14042195204026395,0.35010168400415514,0.4769477241803099,0.03252863977527103,1.1076443170536687,2.3224204952596312
en bande organisée,0.8022031296291309,0.0003501306256564949,0.12317864741845996,0.07426809232675267,0.6306396962481597,0.7531780656033517
freaks,0.9402573621884841,0.007022627348002374,0.04246777942108599,0.010252231042427536,0.273857938785225,1.9900931932153334
infinity,0.8163298622852945,0.011171099735298576,0.16066326947071377,0.011835768508693167,0.5621458141098707,2.198178151011435
lim,0.21109757549667055,0.572061881165447,0.19140478305870284,0.02543576027917968,1.0577015671107142,2.4135247277253518
nas,0.17204736147195365,0.6879445461902125,0.12322713914561949,0.01678095319221432,0.8867206717045452,1.6560657654233175
ofenbach,0.612840048539961,0.1584077049507688,0.16158737961014424,0.06716486689912597,1.0678698843152323,3.006971478347696
relaxation & massage,0.008462299077885345,0.019891001908616368,0.6355232598247752,0.33612343918872306,0.7728604569837103,2.0784752645832834
wonderful life,0.9204724555450483,0.011941184105616436,0.05189964955220559,0.015686710797129667,0.34787014986988146,2.21393687884436
7 years,0.950336853605244,0.004028587035688274,0.009445557174071377,0.036189002184996356,0.23477246890017925,0.9880876286228208
animals,0.8945574219118618,0.04426960460507691,0.05658441068226857,0.004588562800792677,0.42490305228045067,1.5825176820801277
blackpink,0.3574477430598604,0.4489651337019628,0.13328752032361932,0.060299602914557555,1.1652203427077361,2.4608986675991553
blind test années 80,0.03512498658942174,2.14569252226156e-05,0.46552944962986803,0.4993241068554876,0.8205737016933501,2.1192276092302507
lonepsi,0.2239532397825741,0.6202324364893448,0.12126725647615365,0.034547067251927494,1.0034765378339259,1.9408741943180634
mother mother,0.36239786322760104,0.5200954593586522,0.10261881055110395,0.014887866862642834,1.0041192166270514,1.9423073329475424
